fecha,Mercado,Energia,Banca,Consumo,Tecnologia,Utilities
2021-03,-0.032104,-0.029899,-0.075824,0.035095,-0.082083,-0.037952
2021-04,-0.021878,-0.096865,-0.033488,-0.113062,-0.090264,0.041742
2021-05,0.033132,-0.065719,0.018683,0.024023,-0.119453,-0.046597
2021-06,-0.037313,-0.00114,-0.168443,-0.138135,-0.072498,0.021474
2021-07,0.018959,-0.036037,0.023264,-0.000473,-0.073867,0.033564
2021-08,0.036004,0.155524,0.028513,0.106816,0.108518,0.060809
2021-09,0.044732,0.098537,0.066762,0.01843,0.190306,0.039281
2021-10,-0.042172,-0.196075,0.008424,-0.020684,-0.11223,-0.112681
2021-11,0.054553,0.249922,0.063864,0.00673,0.144643,0.000411
2021-12,-0.004025,0.102309,-0.09129,-0.069773,0.004133,0.076063
2022-01,-0.026471,-0.11777,0.069301,-0.001555,0.013604,-0.056802
2022-02,0.034819,0.113882,0.064182,0.122758,0.121556,0.045069
2022-03,0.077679,0.202799,0.117776,0.065488,-0.100389,0.036735
2022-04,0.079759,0.012046,0.058842,0.012412,0.13287,0.084478
2022-05,0.027874,-0.002588,0.067176,0.0841,0.039725,0.065681
2022-06,-0.001685,0.006436,-0.078873,-0.006356,-0.085666,0.030577
2022-07,-0.003545,0.001788,0.000506,0.018545,-0.009686,0.005996
2022-08,-0.02078,0.01532,-0.07362,-0.009629,-0.001807,-0.057069
2022-09,0.033329,-0.049389,0.07462,0.017513,0.103313,-0.003415
2022-10,0.04816,0.109128,0.090135,0.000796,0.235931,0.038507
2022-11,0.015992,0.058499,0.074597,-0.001187,-0.171126,0.003956
2022-12,-0.048286,-0.029786,-0.01629,-0.016848,-0.14159,-0.058774
2023-01,0.026851,0.074999,-0.009425,0.044061,0.052799,0.122742
2023-02,-0.017233,-0.096239,-0.023435,0.100773,-0.080514,-0.000394
2023-03,0.070397,0.127237,0.035224,0.005034,-0.106339,0.068984
2023-04,0.075201,0.056253,0.097267,0.075341,0.046062,0.050384
2023-05,0.044107,0.071275,0.10543,0.086281,0.038017,0.071299
2023-06,-0.029118,-0.029467,-0.039758,-0.032559,-0.033502,0.012084
2023-07,-0.054579,0.197569,-0.068711,-0.070757,0.057267,-0.010633
2023-08,0.034177,-0.036062,0.081386,0.017357,0.053968,-0.022543
2023-09,0.039611,0.040691,0.029201,-0.068932,0.111488,-0.009257
2023-10,-0.000458,0.124047,0.055827,0.004524,0.049975,0.014361
2023-11,-0.027743,-0.005746,-0.052681,0.017347,0.015317,0.036383
2023-12,0.059225,0.016347,0.139229,0.021948,0.040705,0.023788
2024-01,0.011336,0.017119,0.029925,0.040464,0.066097,-0.021712
2024-02,-0.02814,-0.031201,0.088508,0.013741,0.058938,-0.055963
2024-03,-0.014873,-0.035097,-0.000785,-0.013842,-0.008254,-0.004022
2024-04,0.035812,0.088823,0.066979,-0.024211,0.036069,0.00962
2024-05,-0.024289,0.075373,-0.000432,0.07193,0.0755,0.050515
2024-06,-0.000193,0.003571,-0.019572,-0.056667,-0.034995,0.065021
2024-07,-0.073664,-0.029058,-0.034034,-0.080292,-0.103602,-0.022992
2024-08,-0.105835,-0.074411,-0.171354,-0.022584,-0.179792,-0.002187
2024-09,0.049871,-0.091174,0.085141,0.001997,0.096015,0.085001
2024-10,-0.032977,-0.067861,-0.002781,0.00574,0.169851,-0.021228
2024-11,0.047536,-0.011389,0.043972,0.087231,0.008179,0.019848
2024-12,0.074782,0.087797,-0.004957,0.012224,0.20005,0.060556
2025-01,-0.040968,-0.02769,-0.134164,-0.030695,-0.009582,-0.0664
2025-02,-0.010422,0.081568,-0.072305,0.013048,-0.046148,-0.04815
2025-03,0.006471,-0.043406,0.031905,-0.02598,-0.181838,0.025504
2025-04,0.012379,0.08546,0.097963,-0.090064,0.021019,-0.012239
2025-05,0.08519,0.223784,0.212907,0.094887,0.113416,-0.009863
2025-06,0.043068,0.038173,0.050842,-0.003392,0.048969,0.021597
2025-07,0.031633,-0.009356,0.059428,0.025308,0.198705,-0.025056
2025-08,-0.032341,-0.135229,-0.031341,-0.092871,-0.084856,-0.016575
2025-09,-0.003048,0.033538,-0.050563,-0.025982,-0.033695,-0.055008
2025-10,-0.026758,0.074393,-0.105307,-0.104967,0.032218,-0.000781
2025-11,0.078796,0.137243,-0.002909,0.145586,0.116826,0.069747
2025-12,0.061416,0.085942,0.201031,0.037854,0.112711,0.016667
